episodes,sum_agent_wins,sum_adver_wins,sum_agent_exceed_screen,sum_adver_exceed_screen,sum_agent_number_of_team_collisions,sum_agent_number_of_oppo_collisions,sum_adver_number_of_team_collisions,sum_adver_number_of_oppo_collisions,avg_agent_number_of_team_collisions,avg_agent_number_of_oppo_collisions,avg_adver_number_of_team_collisions,avg_adver_number_of_oppo_collisions,avg_agent_actor_loss,avg_agent_critic_loss,avg_adver_actor_loss,avg_adver_critic_loss,avg_agent_actor_grad_norm,avg_agent_critic_grad_norm,avg_adver_actor_grad_norm,avg_adver_critic_grad_norm,agent_elo,adver_elo,agent_goal,adver_goal
580,8,284,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1815576652685801,0.7863973180452982,0.6088579893112183,3.638730525970459,0.00021185742662055418,0.8954843084017435,0.7612844705581665,36.256309509277344,705.8033614971553,1294.1966385028434,3,0.25
581,8,285,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.20795768996079764,0.2680658626292522,0.5113548040390015,1.478756308555603,0.00025262642884626985,0.8437313996255398,0.24781472980976105,31.43412971496582,704.7568910103465,1295.2431089896522,3,0.25
582,8,286,214,74,4,0,0,0,1.3333333333333333,0.0,0.0,0.0,0.21381436785062155,0.2627970626926981,0.635161280632019,2.6413745880126953,0.0003550179426383693,0.4887993484735489,0.09682116657495499,26.08196258544922,703.7225476087057,1296.277452391293,3,0.225
583,8,287,214,74,2,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.2020209034283956,0.26775575772626325,0.7257763147354126,2.01849365234375,0.000536916736261143,0.6328002760807673,0.250469446182251,21.484689712524414,702.7000572107438,1297.2999427892548,3,0.225
584,8,288,214,74,2,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.17840596040089926,0.26643952867016196,0.7384958863258362,5.194124698638916,0.0006341979484811114,0.7481640378634135,0.24189193546772003,116.69090270996094,701.6891548372392,1298.3108451627593,3,0.225
585,8,289,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.14991573989391327,0.0025637197929124036,0.8476635217666626,2.8125252723693848,0.0007643720018677413,0.24329514304796854,0.2660965919494629,93.65802001953125,700.6895842154809,1299.3104157845175,3,0.225
586,8,290,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.14162760724624,0.2640181068951885,0.690864622592926,4.182579040527344,0.0010846100873701896,0.6925951739152273,0.14500795304775238,45.62035369873047,699.7010974046615,1300.2989025953368,3,0.225
587,8,291,214,74,0,1,0,1,0.0,0.3333333333333333,0.0,1.0,0.14333627621332803,0.2537771131610498,0.6270905137062073,3.1938912868499756,0.0009358779498143122,1.0133621791998546,0.28903311491012573,20.08168601989746,698.7234544410863,1301.276545558912,3,0.225
588,8,292,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.15232250094413757,0.4916334489826113,0.6280640363693237,2.6831984519958496,0.0009666608384577557,1.6099896257122357,0.07668106257915497,38.34136962890625,697.7564230019581,1302.2435769980402,3,0.225
589,8,293,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.16128057738145193,0.008483502722810954,0.5946838855743408,4.373594284057617,0.001013229268816455,0.3050372612973054,0.17278508841991425,38.333457946777344,696.7997780865898,1303.2002219134085,3,0.225
590,8,293,215,74,0,0,0,0,0.0,0.0,0.0,0.0,0.15661089619000754,0.01149460207670927,0.5567211508750916,3.3671722412109375,0.0012989118743765478,0.34467488278945285,0.08253926783800125,60.451499938964844,711.8533017139772,1288.146698286021,3,0.225
591,8,294,215,74,0,0,0,0,0.0,0.0,0.0,0.0,0.14784929404656091,0.25553203001618385,0.5654498338699341,4.673731327056885,0.0018529916730282518,0.5406707376241684,0.10164447128772736,43.021705627441406,710.7339839529126,1289.2660160470857,3,0.225
592,8,295,215,74,0,0,0,0,0.0,0.0,0.0,0.0,0.16679988553126654,0.5262362505697334,0.5198160409927368,0.41306233406066895,0.002258253065519966,0.6789576013882955,0.1743340790271759,18.263811111450195,709.6285027684248,1290.3714972315734,3,0.225
593,8,296,215,74,0,0,0,0,0.0,0.0,0.0,0.0,0.183165912826856,0.2719755939518412,0.4962412118911743,2.5739352703094482,0.00362114358964997,0.4774333896736304,0.34089720249176025,24.677692413330078,708.5365251623795,1291.4634748376188,3,0.225
594,8,297,215,74,0,0,0,0,0.0,0.0,0.0,0.0,0.20207089185714722,0.25693632964006,0.5562964677810669,3.2544643878936768,0.005722314987603265,0.38258423656225204,0.25731584429740906,30.209571838378906,707.4577298961028,1292.5422701038954,4,0.30000000000000004
595,8,298,215,74,0,0,0,0,0.0,0.0,0.0,0.0,0.20424307386080423,0.0062638967065140605,0.602070689201355,2.80517315864563,0.007191276202017131,0.559742713967959,0.5058271884918213,28.23701286315918,706.3918069473818,1293.6081930526163,4,0.30000000000000004
596,8,299,215,74,0,0,0,0,0.0,0.0,0.0,0.0,0.18790178994337717,0.007491525417814652,0.6424797773361206,1.1516605615615845,0.007637291118347396,0.5922429785132408,0.5054891109466553,70.92432403564453,705.3384569982471,1294.6615430017512,4,0.30000000000000004
